lexeme_id,ex_zhh,ex_chs,ex_en
L1,抌人波鐘,浪费别人时间,Wasting other people's time
L1,咪柒揼波鐘啦,不要浪费时间了,Don't waste your time.
L1,你做嘢爽手啲啦，唔好成日抌波钟,你干活要麻利一些，不要老是浪费时间,You need to be more efficient at your work and stop wasting time.
L1,揼住唔做,耗着不做,dragging it out without doing anything
L2,揼咗啲嘢佢,把它扔了,Throw it away
L2,咪揼過嚟,不要扔过来，带力度,Don't throw it at me.sense of power
L2,咪掟我,不要用力扔我,Don't throw me hard.
L2,唔好掉鸠我,不要向我方向扔,Don't f*cking throw me away.
L2,揼埋一二邊,扔在一边，随意不经意扔，带力度,Put aside，set aside，sense of power
L2,佢揼咗我杯雪糕,她/他把我雪糕丢掉了,She/He threw away my ice cream.
L2,做乜揼晒佢嗟,干嘛全扔掉,Why throw it all away?
L3,掟個波埋嚟,投了个球类过来我这里；特指投射动作,He threw a ball to me; specifically referring to the action of throwing.
L3,飛個波埋嚟,扔个球类过来我这里；已经进行中，在空中,"Throw a ball over here; it's already in progress, in the air."
L3,飛咗啲乜嘢埋嚟,扔了什么东西过来,What was thrown over?
L3,飛對拖鞋埋嚟,扔双拖鞋过来,Throw a pair of slippers over
L3,弹啲Job過嚟,扔点工作过来,Give me a Job
L3,一嘢車個波埋嚟,一下扔个球过来我这里；形容速度好像跑车那么快,He threw a ball right at me; the speed was like a sports car.
L3,一嘢車落塊面度,扇了我一巴掌,He slapped me
L4,唔好𢫨,不要推,Don't push
L4,咪𢫨,别推,Don't push
L4,冇閪𢫨,别他妈推,Don'tf*cking push me
L4,咪柒𢫨/咪撚𢫨,别他妈推,Don'tf*cking push me
L4,𢫨你条撚,推你妈/推你个锤子,Stop f*cking pushing me.
L4,𢫨你个屄啊𢫨,推你妈/推你个锤子,Stop f*cking pushing me.
L4,𢫨乜撚啊,推什么推,Why are you pushing me?
L4,𢫨我托啊,我干嘛,Why are you pushin g me?
L4,𢫨我托柒啊,我干嘛,Why are you pushin g me?
L4,𢫨乜柒啊,推什么推,Why are you pushing me ?
L4,𢫨乜撚啊,推什么推,Why are you pushing me ?
L4,再𢫨我你就屄,再推我你就死定了,Push me again and you're
L4,𢫨開,推开,To push aside
L4,神推鬼𢫨,有一种难以解释的冲动去做某事。,To have an inexplicable drive to do something
L4,𢫨你老母,推你妈,F*ck your mother
L4,𢫨佢落山,拖他/她下山,Drag him/her down the mountain
